ENDPOINT                       admin            sales            project_manager  operations      
--------------------------------------------------------------------------------------------------
/dashboard                     200              403              403              403
/clients                       200              200              200              200
/leads                         200              200              403              403
/projects                      200              200              200              200
/tasks                         200              200              200              200
/tasks/report                  200              200              200              200
/users                         200              200              200              200
/services                      200              200              200              200
/time-entries                  200              200              200              200
/time-entries/capacity         200              403              200              403
/time-entries/workload         200              403              200              403
/workflow-statuses             200              200              200              200
/vault                         200              200              200              200
/chat                          200              200              200              200
/hr/attendance                 200              200              200              200
/hr/leave                      200              200              200              200
/hr/payroll                    200              403              403              403
/invoices                      200              200              403              403
/payments                      200              403              403              403
/expenses                      200              403              403              403
/accounts                      200              403              403              403
/transactions                  200              403              403              403
/team-payouts                  200              403              403              403
/owner-withdrawals             200              403              403              403
/due-payments                  200              403              403              403
/loans                         200              403              403              403
/loans/summary                 200              403              403              403
/shareholders                  200              403              403              403
/departments                   200              200              200              200
/activity                      200              403              403              403
/notification-rules            200              403              403              403
/permissions                   200              403              403              403
/security/login-events         200              403              403              403
/reports/profit-loss           200              403              403              403
/reports/cash-flow             200              403              403              403
/reports/client-revenue        200              200              403              403
/reports/project-profitability 200              403              200              403
/reports/monthly               200              403              403              403
/kpi/agency                    200              403              403              403
/kpi/sales                     200              200              403              403
/kpi/delivery                  200              403              200              403
/kpi/me                        200              200              200              200
